"agency","total","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","leader_deaths"
"bajour",3,18,98,13,13,1
"khyber",1,5,15,,,
"kurram",2,,,31,31,
"mohmand",,,,,,
"north-waziristan",91,418,590,169,241,25
"orakzai",1,10,12,,,
"south-waziristan",45,251,363,76,203,16
