"id","name","lon","lat"
"bajaur","Bajaur",71.49,34.75
"khyber","Khyber",71.05,33.94
"kurram","Kurram",70.32,33.7
"mohmand","Mohmand",71.34,34.45
"north-waziristan","North-Waziristan",69.96,32.93
"orakzai","Orakzai",70.99,33.7
"south-waziristan","South-Waziristan",69.74,32.32
