9,"Latitude","Longitude","Date","Year","Militant Leaders Killed","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","deaths_min","deaths_max","Assumed Target","Source One","Source One link","Source Two","Source Two Link","Source Three","Source Three Link","Notes"
"Kaniguram, near Wana, South Waziristan",32.281906,69.553757,"April 29, 2009",2009,"Abu Sulayman al Jazairi"," ",,5,10,5,10,"Abu Sulayman al-Jazairi; Baitullah Mehsud/Mullah Nazir","GeoTV","http://geo.tv/4-29-2009/40987.htm","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/11-ten-dead-in-suspected-us-drone-attack--07","Reuters","http://www.reuters.com/article/topNews/idUSTRE53S4UN20090429",
"Tabbi Langar Khel, near Sarorogha, South Waziristan",32.520184,69.783783,"May 9, 2009",2009,"unknown"," ",,5,10,5,10,"Baitullah Mehsud","Reuters","http://in.reuters.com/article/domesticNews/idINISL41147520090509","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/us+drone+fires+missiles+into+south+waziristan-rs","The News","http://www.thenews.com.pk/updates.asp?id=77172",
"Norak, North Waziristan (12 miles east of Miram Shah)",32.997723,70.041962,"September 30, 2009",2009,"unknown",5,8," ",,5,8,"Taliban vehicle and compound (TALIBAN)","Reuters","http://www.reuters.com/article/gc05/idUSTRE58Q0N020090930","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5jd5qX7OHiaPmm_5Kyg3f5tnIUP5Q","The Nation (Pakistan)","http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Islamabad/30-Sep-2009/US-missile-strike-kills-six-in-NWaziristan",
"Babrak Ziarat near Wazgai village of Dattakhel tehsil, North Waziristan",32.821903,69.979477,"December 18, 2009",2009,"unknown",5,6," ",,5,6,"Funeral procession of victims from earlier missile strike (TALIBAN; Daily Times reports Punjabi Taliban)","The News","http://www.thenews.com.pk/top_story_detail.asp?Id=26148","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/03-two-killed-in-suspected-us-drone-strike-ss-04","GeoTV","http://geo.tv/12-18-2009/55013.htm",
"Sanzali area of Datta Khel, North Waziristan",32.986778,69.758377,"January 6, 2010",2010,"unknown",5,6," ",,5,6,"Locals collecting bodies from first Jan. 6 attack (TALIBAN)","Agence France Press","http://news.yahoo.com/s/afp/20100106/wl_sthasia_afp/pakistanusunrestmissile","AP","http://news.yahoo.com/s/ap/20100106/ap_on_re_as/as_pakistan","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/07-drone-attack-kills-three-militants-in-n-waziristan-ha-07","reports 20-25 killed in both Jan. 6 strikes, but is an outlier. (http://www.nytimes.com/2010/January 07/world/asia/07drones.html)"
"Muhammad Khel, Datta Khel, North Waziristan<",32.972958,69.700012,"January 29, 2010",2010,"unknown",5,15," ",,5,15,"Haqqani/Taliban compound (HAQQANI/TALIBAN)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5hTS40m0EA1PurEIleQRTDxsnh9Ng","AP","http://news.yahoo.com/s/ap/20100130/ap_on_re_as/as_pakistan","BBC","http://news.bbc.co.uk/2/hi/south_asia/8488888.stm",
"Mizar Madakhel, 25-31 miles west of Miram Shah, North Waziristan",32.997147,69.616241,"March 10, 2010",2010,"unknown",4,4,1,5,5,9,"vehicles used by militants to recover those killed in first strike (UNCLEAR)","GeoTV","http://geo.tv/3-10-2010/60819.htm","Agence France Press","http://news.yahoo.com/s/afp/20100310/wl_asia_afp/pakistanunrestusmissile","Al Jazeera","http://english.aljazeera.net/news/asia/2010/03/201031018114779678.html",
"Mizar Madakhel, 25-31 miles west of Miram Shah, North Waziristan",33.005783,70.090027,"March 10, 2010",2010,"unknown",5,8," ",,5,8,"Vehicle and compound being used by militants (UNCLEAR)","GeoTV","http://geo.tv/3-10-2010/60819.htm","Agence France Press","http://news.yahoo.com/s/afp/20100310/wl_asia_afp/pakistanunrestusmissile","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9EBTOSG1",
"Machi Khel, 12 miles east of Miram Shah, North Waziristan",32.998299,70.119553,"April 24, 2010",2010,"unknown",5,8," ",,5,8,"militant compound (unclear)","CNN","http://news.blogs.cnn.com/2010/04/24/drone-strike-in-pakistan-kills-7-militants","GeoTV","http://geo.tv/4-24-2010/63744.htm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9F9IR880",
"Ragha area, Tirah Valley, Khyber",32.994267,69.558563,"May 15, 2010",2010,"unknown",5,15," ",,5,15,"House and trucks with militants (UNCLEAR)","AP","http://news.yahoo.com/s/ap/20100515/ap_on_re_as/as_pakistan","The News","http://www.thenews.com.pk/top_story_detail.asp?Id=28874","Daily Times","http://www.dailytimes.com.pk/default.asp?page=2010%5C05%5C16%5Cstory_16-5-2010_pg1_4","the AP is the only wire service to report on this strike, so it is included here but not in any of the above tallies."
"Sheerani,Mada Khel, North Waziristan (19 miles west of Miram Shah)",32.234295,69.530411,"July 15, 2010",2010,"unknown",5,14," ",,5,14,"Compound used by militants affiliated with Hafiz Gul Bahadur (TALIBAN)","AP","http://news.yahoo.com/s/ap/20100715/ap_on_re_as/as_pakistan","BBC","http://www.bbc.co.uk/news/world-south-asia-10654163","Agence France Press","http://news.yahoo.com/s/afp/20100715/pl_afp/pakistanunrestusmissile",
"Wana, South Waziristan",32.993980,70.237999,"June 18, 2004",2004,"Nek Muhammad",4,4,0,,4,4,"Nek Muhammad","New York Times","http://www.nytimes.com/2004/06/19/international/asia/19STAN.html",,,,,
"Lwara Mundi, 1.5km from Afghan border, North Waziristan",32.308025,69.409561,"March 12, 2008",2008,"none"," ",,4,4,4,4,"Haqqani network","Agence France Press","http://afp.google.com/article/ALeqM5hEvGnNivzHK50KfpldUx0ZMs8Nxg",,,,,
"Khusali Toorikhel, near Mir Ali, North Waziristan",32.500496,69.283905,"January 10, 2008",2008,"none",4,6," ",,4,6,"Mir Ali is a known stronghold of Abu Kasha, a link between al Qaeda’s Shura Majlis and the Taliban","GeoTV","http://www.geo.tv/10-1-2008/26034.htm",,,,,
"Just outside Miramshah, North Waziristan",32.994843,70.167618,"October 11, 2008",2008,"unknown",0,,4,4,4,4,"Meeting of al Qaeda and Taliban commanders","GeoTV","http://www.geo.tv/10-12-2008/26731.htm""><FONT color=""#0000ff",,,,,
"Taparghai, near Saam in the Ladha region, South Waziristan",32.993690,70.092087,"October 16, 2008",2008,"Khalid Habib",0,,4,4,4,4,"Khalid Habib","CNN","http://www.cnn.com/2008/WORLD/asiapcf/10/22/pakistan.al.qaeda.commander/index.html?iref=newssearch","New York Times","http://www.nytimes.com/2008/10/18/world/asia/18pstan.html","LA Times","http://articles.latimes.com/2008/oct/31/world/fg-habib31",
"Ladha, South Waziristan",32.296421,69.498825,"January 2, 2009",2009,"unknown"," ",,4,4,4,4,"Baitullah Mehsud","GeoTV","http://www.geo.tv/1-2-2009/31753.htm",,,,,
"Jani Khel, Bannu, NWFP",33.808819,70.279541,"March 15, 2009",2009,"unclear",,,4,5,4,5,"Local militant commander Taj Ali Khan (UNCLEAR)","GeoTV","http://www.geo.tv/3-16-2009/37457.htm","New York Times","http://www.nytimes.com/2009/03/17/world/asia/17drone.html?ref=world","BBC","http://news.bbc.co.uk/2/hi/south_asia/7945404.stm",
"Sokhel, Mir Ali, North Waziristan",32.616241,69.848328,"March 25, 2009",2009,"unknown"," ",,4,5,4,5,"Malik Gulab Khan, “pro-militant tribal elder” (QAEDA)","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/03/26/AR2009032600260.html?referrer=emailarticle","GeoTV","http://geo.tv/3-26-2009/38239.htm","Dawn","http://www.dawn.com/wps/wcm/connect/Dawn%20Content%20Library/dawn/news/pakistan/nwfp/4-killed-in-north-waziristan-drone-attack--il",
"Tapar Ghai area in the Kanigram district in South Waziristan",33.003483,70.031662,"August 27, 2009",2009,"Tahir Yuldashev (purportedly of Yuldashev in January 2010; current status unclear)",4,4,0,4,4,8,"suspected militant hide-out in the stronghold of top Taliban commander Waliur Rehman; Tahir Yuldashev (TALIBAN/AL QAEDA)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8224289.stm","GeoTV","http://www.geo.tv/8-27-2009/48316.htm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9AB5TDO0",
"Toori Khel village, near Mir Ali, North Waziristan",33.046082,70.019989,"September 14, 2009",2009,"Nazimuddin Zalalov alias Yahyo",4,4,0,4,4,8,"hideout of defunct Tahrik-e-Taliban at Turikhel area; militant vehicle (TALIBAN)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5ijQhVf-V5hHrgYBP-Z4cGhNMIEsA","BBC","http://news.bbc.co.uk/2/hi/south_asia/8253841.stm","GeoTV","http://geo.tv/9-14-2009/49185.htm",
"Dandey Darpa Khel, North Waziristan",32.989082,70.328293,"October 15, 2009",2009,"unknown",3,3,1,2,4,5,"Haqqani militants (Reuters)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8308157.stm","GeoTV","http://geo.tv/10-15-2009/50961.htm","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5is5qBp_wZRbzXkwvgZBf-NMo_IEA",
"Shanakhora, 12 miles west of Miram Shah, North Waziristan",32.957401,70.302887,"November 18, 2009",2009,"unknown",4,4," ",,4,4,"Taliban militants using the compound","Reuters","http://www.reuters.com/article/asiaCrisis/idUSSP476018","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5gTRQcdNeByfeRiEv2X5yL-HERq4w","GeoTV","http://geo.tv/11-19-2009/53188.htm",
"Bichi village, Mirkhwanai area, near Shaktoi, North Waziristan (border)",32.940117,70.296021,"January 15, 2010",2010,"Azmatullah Mawiya (TT-Punjab)",4,6," ",,4,6,"Militant compound (TALIBAN)","Agence France Press","http://news.yahoo.com/s/afp/20100115/wl_sthasia_afp/pakistanunrestnorthwestmissile","GeoTV","http://geo.tv/1-15-2010/57068.htm","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/18-three-killed-in-suspected-us-drone-strike-am-02",
"Mir Ali, North Waziristan",32.976414,69.728165,"February 14, 2010",2010,"unknown",4,7," ",,4,7,"Mlitant compound; house of militant collaborator, Khanadan Khan Dawar","New York Times","http://www.nytimes.com/2010/02/15/world/asia/15pstan.html","CNN","http://edition.cnn.com/2010/WORLD/asiapcf/02/14/pakistan.attacks","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5jNMep6A9CfDN1kqj15keICdBbKCQ",
"Lowari Mandi area of Datta Khel, North Waziristan",32.995995,69.625854,"March 21, 2010",2010,"unknown",4,13," ",,4,13,"Militant compound used by Taliban and/or Haqqani network","CNN","http://news.blogs.cnn.com/2010/03/21/officials-5-militants-killed-in-pakistan-by-drone/","AP","http://news.yahoo.com/s/ap/20100321/ap_on_re_as/as_pakistan","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/the-newspaper/front-page/12-death-toll-in-drone-strike-rises-to-13--bi-06",
"Hurmaz, near Mir Ali, North Waziristan",32.985626,70.054321,"March 28, 2010",2010,"unknown"," ",,4,4,4,4,"Houses used by militants (unclear)","Agence France Press","http://news.yahoo.com/s/afp/20100327/wl_asia_afp/pakistanunrestusmissile","AP","http://news.yahoo.com/s/ap/20100327/ap_on_re_as/as_pakistan","Reuters","http://news.yahoo.com/s/nm/20100327/wl_nm/us_pakistan_missile_strike",
"Tapi village, 13 miles east of Miram Shah, North Waziristan<",32.967770,70.253448,"March 31, 2010",2010,"unknown",4,6," ",,4,6,"Compound used by militants (unclear)","CNN","http://www.cnn.com/2010/WORLD/asiapcf/03/31/pakistan.attacks/","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5iXKDw0vWQomHE9ISJeMypJ45pgOA","AP","http://www.nytimes.com/aponline/2010/03/31/world/AP-AS-Pakistan.html",
"Toorkhel, suburbs of Miram Shah, North Waziristan",33.004059,69.752197,"April 16, 2010",2010,"unknown",4,6," ",,4,6,"Vehicle carrying militants (UNCLEAR)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5gvfJwwysV6pe_LXSLYnE6kuWNMgQ","AP","http://news.yahoo.com/s/ap/20100416/ap_on_re_as/as_pakistan","The News","http://www.thenews.com.pk/updates.asp?id=102977",
"Khushali Toorkhel, 15 miles east of Miram Shah, North Waziristan",32.978718,70.327606,"April 26, 2010",2010,"unknown",4,8," ",,4,8,"house with militants","GeoTV","http://geo.tv/4-26-2010/63847.htm","Agence France Press","http://news.yahoo.com/s/afp/20100426/wl_asia_afp/pakistanunrest","AP","http://news.yahoo.com/s/ap/20100426/ap_on_re_as/as_pakistan",
"Marsikhel, near Mir Ali, North Waziristan",32.972958,70.350952,"May 3, 2010",2010,"unknown",4,4,0,2,4,6,"car with militants","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9FFBPSG0","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-nwaziristandronestrike-qs-11","GeoTV","http://geo.tv/5-3-2010/64265.htm",
"Asadabad village of Muhammadn Khel area of Datta Khel, North Waziristan",33.881817,70.859070,"May 23, 2010",2010,"Mustafa Abu al-Yazid, AQ no. 3",4,10,0,6,4,16,"Compound rented to fighters from Hafiz Gul Bahadur’s group (TALIBAN)","CNN","http://www.cnn.com/2010/WORLD/asiapcf/05/21/pakistan.attack/index.html","GeoTV","http://geo.tv/5-22-2010/65372.htm","AP","http://news.yahoo.com/s/ap/20100522/ap_on_re_as/as_pakistan",
"Danda Saidgai, 15km north of Miram Shah, North Waziristan",32.844982,69.565430,"April 28, 2007",2007,"none",,,3,4,3,4,"Taliban militants","Daily Times","http://www.dailytimes.com.pk/default.asp?page=2007%5C04%5C28%5Cstory_28-4-2007_pg7_1","Dawn","http://www.dawn.com/2007/04/28/top1.htm","Reuters","http://www.reuters.com/article/idUSISL11111020070427",
"Datta Khel, North Waziristan (60km west of Miramshah)",32.976990,70.303574,"October 3, 2008",2008,"none",0,,3,3,3,3,"Haqqani network","Reuters","http://www.reuters.com/article/worldNews/idUSTRE4925MS20081003?sp=true",,,,,
"Ali Khel region just outside of Miramshah, North Waziristan",32.799973,70.489655,"November 22, 2008",2008,"Rashid Rauf (suspect in 2006 planes plot) and Abu Zubair al Masri",0,,3,3,3,3,"Jalaluddin Haqqani, head of the Taliban in North Waziristan, is based near Miramshah","CNN","http://www.cnn.com/2008/WORLD/asiapcf/11/22/pakistan.airstrike/index.html?iref=newssearch",,,,,
"Chashma, a village on the outskirts of Miramshah, North Waziristan",32.981308,70.067368,"November 29, 2008",2008,"none",0,,3,3,3,3,"Taj Mohammad (UNCLEAR)","CNN","http://www.cnn.com/2008/WORLD/asiapcf/11/29/pakistan.missile/index.html?iref=newssearch","Reuters","http://in.reuters.com/article/southAsiaNews/idINIndia-36778020081129",,,
"Gangi Khel, outskirts of Wana, South Waziristan",32.321957,69.586716,"April 19, 2009",2009,"unknown",3,3,0,5,3,8,"Taliban militant camp (TALIBAN)","CNN","http://www.cnn.com/2009/WORLD/asiapcf/04/19/pakistan.drone/","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5gx71WkPEnJXUWZieAGf4H7SlSsQQ","Reuters","http://uk.reuters.com/article/topNews/idUKTRE53I08X20090419",
"Mardar Algad, Ladha, South Waziristan",33.005211,70.272675,"June 14, 2009",2009,"unknown",3,5," ",,3,5,"Baitullah Mehsud (BM)","CNN","http://www.cnn.com/2009/WORLD/asiapcf/06/14/pakistan.bomb/index.html","Reuters","http://www.reuters.com/article/gc05/idUSTRE55D07620090614","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5jogA1MhYMfVMl0I3yaTwvqrEoXHg",
"Painda Khel, South Waziristan",32.527710,69.863434,"July 10, 2009",2009,"unknown",3,8," ",,3,8,"Baitullah Mehsud (BM)","New York Times","http://www.nytimes.com/2009/07/11/world/asia/11briefs-Pstan.html?_r=2&amp;ref=world","Reuters","http://www.reuters.com/article/newsMaps/idUSTRE56A0NE20090711","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/16-fazlullah-injured-says-ispr-hs-04","This is a very rough approximation of the location of Painda Khel."
"Sararogha, South Waziristan",32.971230,70.245895,"September 29, 2009",2009,"unknown",3,5," ",,3,5,"compound of local Taliban commander Irfan Mehsud (TALIBAN)","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9B0T6K00","GeoTV","http://geo.tv/9-29-2009/49938.htm","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5gZEDyFl6YV5tVp3MQ0Hdu2-gucmw",
"Danda Darpakhel, North Waziristan",32.493546,70.023422,"September 29, 2009",2009,"unknown",3,7," ",,3,7,"A house owned by a known Afghan militant (TALIBAN)","Agence France Press","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9B11FQG0","GeoTV","http://geo.tv/9-29-2009/49953.htm","BBC","http://news.bbc.co.uk/2/hi/south_asia/8280971.stm",
"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah, North Waziristan",32.985050,69.739151,"December 26, 2009",2009,"unknown"," ",,3,13,3,13,"House of local tribesman Asmatullah, apparently linked with Taliban","AP","http://news.yahoo.com/s/ap/20091226/ap_on_re_as/as_pakistan","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5iYkIs8AzN2l8ShYbCQicVxY4YkSA","Al Jazeera","http://english.aljazeera.net/news/asia/2009/12/20091226153246297157.html",
"Sanzali area of Datta Khel, North Waziristan",32.997723,70.342026,"January 6, 2010",2010,"unknown",3,7," ",,3,7,"Taliban training center belonging to Hafiz Gul Bahadur","Pajhwok","http://www.pajhwok.com/viewstory.asp?lng=eng&amp;id=87476","GeoTV","http://geo.tv/1-6-2010/56366.htm","Agence France Press","http://news.yahoo.com/s/afp/20100106/wl_sthasia_afp/pakistanusunrestmissile",
"Tappi village, near Miram Shah, North Waziristan",32.983898,69.757690,"January 8, 2010",2010,"unknown",3,5," ",,3,5,"Hafiz Gul Bahadur’s network (TALIBAN)","Agence France Press","http://news.yahoo.com/s/afp/20100108/wl_sthasia_afp/pakistanunrestnorthwestmissile","AP","http://news.yahoo.com/s/ap/20100108/ap_on_re_as/as_pakistan","CNN","http://www.cnn.com/2010/WORLD/asiapcf/January 08/pakistan.blast/",
"Zanini village, near Mir Ali, North Waziristan",32.669147,70.156975,"January 15, 2010",2010,"unknown",3,5," ",,3,5,"Militant camp; Hakimullah Mehsud (TALIBAN)","Agence France Press",,"GeoTV",,"BBC",,
"Deegan, 18 miles west of Miram Shah, in Datta Khel, North Waziristan",32.659031,70.150452,"January 19, 2010",2010,"unknown",3,6," ",,3,6,"Compound and vehicle (HAQQANI/TALIBAN)","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/18-suspected-us-drone-strike-kills-six-in-miranshah-am-03","CNN","http://edition.cnn.com/2010/WORLD/asiapcf/January 19/pakistan.drone/","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5iWkZkZ61RpwdvlVLSBpTFs0DbFBA",
"Tapi, 9 miles east of Miram Shah, North Waziristan",32.963161,70.241776,"February 15, 2010",2010,"Abdul Haq al-Turkistani, leader of a group called the Turkistani Islamic Party",3,4," ",,3,4,"Vehicle carrying militants (UNCLEAR)","AP","http://news.yahoo.com/s/ap/20100215/ap_on_re_as/as_pakistan","Reuters","http://news.yahoo.com/s/nm/20100215/wl_nm/us_pakistan_violence","Agence France Press","http://news.yahoo.com/s/afp/20100215/wl_sthasia_afp/pakistanunrestusmissil",
"Darpa Khel, near Miram Shah, North Waziristan",32.997723,70.189590,"February 18, 2010",2010,"Muhammad Haqqani, brother of Siraj",3,4," ",,3,4,"Haqqani compound","Reuters","ttp://news.yahoo.com/s/nm/20100218/ts_nm/us_pakistan_violence_missile","GeoTV","http://geo.tv/2-18-2010/59522.htm","AP","http://news.yahoo.com/s/ap/20100218/ap_on_re_as/as_pakistan",
"Dargi Mandi, 2.5 miles north of Miram Shah, North Waziristan",33.015572,70.052605,"February 24, 2010",2010,"Mohammad
Qari Zafar",3,8," ",,3,8,"Militant compound (HAQQANI/TALIBAN)","AP","http://r20.rs6.net/tn.jsp?t=7pjztkdab.0.0.qtviz6cab.0&amp;p=http%3A%2F%2Fnews.yahoo.com%2Fs%2Fap%2F20100224%2Fap_on_re_as%2Fas_pakistan&amp;id=preview","BBC","http://r20.rs6.net/tn.jsp?t=7pjztkdab.0.0.qtviz6cab.0&amp;p=http%3A%2F%2Fnews.bbc.co.uk%2F2%2Fhi%2Fsouth_asia%2F8533777.stm&amp;id=preview","GeoTV","http://r20.rs6.net/tn.jsp?t=7pjztkdab.0.0.qtviz6cab.0&amp;p=http%3A%2F%2Fgeo.tv%2F2-24-2010%2F59892.htm&amp;id=preview",
"Maley Khan Sirai area of Miram Shah, North Waziristan",33.042629,70.061188,"March 8, 2010",2010,"Sadam Hussein Al Hussami, also known as Ghazwan Al-Yemeni",3,5," ",,3,5,"Building used by militants (QAEDA)","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/22-us-drone-strike-in-malay-khan-area-aj-02","GeoTV","http://geo.tv/3-8-2010/60685.htm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9EAHSP80",
"Hamzoni, 6 miles west of Miram Shah, North Waziristan",32.991386,69.742584,"March 17, 2010",2010,"unknown",3,6," ",,3,6,"Hafiz Gul Bahadur vehicle (TALIBAN)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8571608.stm","Al Jazeera","http://english.aljazeera.net/news/asia/2010/03/20103174368513661.html","GeoTV","http://geo.tv/3-17-2010/61210.htm",
"Mada Khel, 25 miles west of Miram Shah, North Waziristan",33.013271,69.938965,"March 17, 2010",2010,"unknown",3,8," ",,3,8,"Hafiz Gul Bahadur group (TALIBAN)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8571608.stm","Al Jazeera","http://english.aljazeera.net/news/asia/2010/03/20103174368513661.html","Reuters","http://www.reuters.com/article/idUSTRE6230HI20100317",
"Machis, outskirts of Miram Shah, North Waziristan",32.995995,69.682159,"March 21, 2010",2010,"unknown",3,6," ",,3,6,"militant vehicle/compound (unclear)","CNN","http://news.blogs.cnn.com/2010/03/23/4-militants-killed-in-drone-strike-pakistani-officials-say","AP","http://news.yahoo.com/s/ap/20100323/ap_on_re_as/as_pakistan","Agence France Press","http://news.yahoo.com/s/afp/20100323/wl_sthasia_afp/pakistanunrestusmissile",
"Amboor Shaga village, 15 miles west of Miram Shah, North  Waziristan",33.024784,69.823608,"April 14, 2010",2010,"unknown",3,4," ",,3,4,"Vehicle carrying militants (UNCLEAR)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8620895.stm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9F2T0P80","Agence France Press","http://news.yahoo.com/s/afp/20100414/wl_sthasia_afp/pakistanunrestusmissile",
"Tabbi Tolkhel, 4 km north of Miram Shah, North Waziristan",32.974686,70.278168,"June 27, 2010",2010,"unknown",3,6," ",,3,6,"Militant compound (UNCLEAR)","Daily Times of Pakistan","http://www.dailytimes.com.pk/default.asp?page=2010%5C06%5C27%5Cstory_27-6-2010_pg7_4","Tribune","http://tribune.com.pk/story/24125/drone-strike-kills-four-in-north-waziristan/","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9GJMU980",
"Tappi, Miramshah, North Waziristan",32.326595,69.521484,"August 31, 2008",2008,"none",,,2,2,2,2,"Jalaluddin Haqqani, head of the Taliban in North Waziristan, is based near Miramshah","GeoTV","http://www.geo.tv/9-1-2008/23919.htm",,,,,
"Bannu Frontier Region east of North Waziristan (Jani Khel, NWFP)",32.707577,69.873047,"November 19, 2008",2008,"Abdullah Azzam al Saudi",2,5,,,2,5,"Taliban militant (Dilber, alias Parpand)","CNN","http://www.cnn.com/2008/WORLD/asiapcf/11/19/pakistan.airstrike/index.html?iref=newssearch","Dawn","http://www.dawn.net/wps/wcm/connect/Dawn%20Content%20Library/dawn/news/pakistan/nwfp/us-drone-strike-kills-five-in-bannu--ha","Thaindian","http://www.thaindian.com/newsportal/south-asia/us-drone-attack-kills-four-militants-in-pakistan_100121144.html",
"Tapi Tool region near Miramshah, North Waziristan",32.316730,69.384155,"December 15, 2008",2008,"none",0,,2,2,2,2,"Jalaluddin Haqqani, head of the Taliban in North Waziristan, is based near Miramshah","GeoTV","http://www.geo.tv/12-15-2008/30752.htm",,,,,
"Wana, South Waziristan",32.984474,69.715805,"April 8, 2009",2009,"unknown",2,3,0,1,2,4,"Mullah Nazir, Baitullah Mehsud’s rival (TALIBAN)","GeoTV","http://geo.tv/4-8-2009/39356.htm","New York Times","http://www.nytimes.com/aponline/2009/04/08/world/AP-AS-Pakistan.html?ref=global-home","Dawn","ttp://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/nwfp/two-killed-in-suspected-drone-attack-in-south-waziristan--il",
"Neej Narai, outside Makeen, South Waziristan",32.334141,69.568176,"June 23, 2009",2009,"none",2,6," ",,2,6,"Baitullah Mehsud","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5heBbALZ2uRaRJTO9hzBlKzmGmG0A","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/06/23/pakistan.unrest/","Reuters","http://in.reuters.com/article/southAsiaNews/idINIndia-40566720090624",
"Zangra village of Ladha, South Waziristan",32.704109,70.063934,"August 5, 2009",2009,"Baitullah Mehsud",1,3,1,1,2,4,"Baitullah Mehsud","GeoTV","http://www.geo.tv/8-5-2009/47113.htm","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/07-suspected-us-drone-strike-kills-one-woman-in-s-waziristan-ha-05","CNN","http://www.cnn.com/2009/WORLD/asiapcf/08/05/pakistan.drone.attack/",
"Norak, near Mir Ali, North Waziristan",34.818878,71.500397,"November 4, 2009",2009,"unknown",2,5," ",,2,5,"Home of local militant Musharaf Gul (TALIBAN)","Agence France Press","http://news.yahoo.com/s/afp/20091105/wl_asia_afp/pakistanunrestusmissile","GeoTV","http://geo.tv/11-5-2009/52403.htm","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/12-suspected+us+missile+strike+in+waziristan+kills+two--bi-11",
"Aspalga village, 7 miles SE of Miram Shah, North Waziristan",33.002331,70.290527,"December 8, 2009",2009,"Saleh al-Somali",2,3," ",,2,3,"Car with Taliban militants","Reuters","http://www.reuters.com/article/idUSTRE5B709320091208","GeoTV","http://geo.tv/12-8-2009/54303.htm","AP","http://news.yahoo.com/s/ap/20091208/ap_on_re_as/as_pakistan",
"Dosali village, North Waziristan",32.989082,69.693146,"December 17, 2009",2009,"unknown",2,2," ",,2,2,"Vehicle with suspected insurgents (TALIBAN)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8417756.stm","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/12/17/pakistan.drone","GeoTV","http://geo.tv/12-17-2009/54938.htm",
