9,"Latitude","Longitude","Date","Year","Militant Leaders Killed","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","deaths_min","deaths_max","Assumed Target","Source One","Source One link","Source Two","Source Two Link","Source Three","Source Three Link","Notes"
"Boya village, 12 miles west of Miram Shah, North Waziristan",32.997147,70.302887,"April 12, 2010",2010,"unknown",3,5,8,8,11,13,"Compound owned by local Taliban commander Tariq Khan","AP","http://news.yahoo.com/s/ap/20100413/ap_on_re_as/as_pakistan","GeoTV","http://geo.tv/4-12-2010/62850.htm","Agence France Press","http://news.yahoo.com/s/afp/20100412/wl_sthasia_afp/pakistanunrestusmissile",
"Sokhel village, 16 miles east of Miram Shah, North Waziristan",32.997147,69.656754,"June 21, 2010",2010,"Abu Ahmed",11,17," ",,11,17,"Government water supply plant where militants were meeting (TALIBAN/QAEDA)","The News","http://www.thenews.com.pk/updates.asp?id=106950","Tribune","http://tribune.com.pk/story/22407/10-killed-in-drone-strike-in-n-waziristan","BBC","http://news.bbc.co.uk/2/hi/south_asia/10356604.stm",
"Danday Darpa Khel, outskirts of Miram Shah, North Waziristan",34.841988,71.497650,"November 2, 2006",2006,"none",5,5,5,5,10,10,"Madrassa founded by Jalaluddin Haqqani","BBC","http://news.bbc.co.uk/2/hi/7075026.stm","Reuters","http://www.reuters.com/article/idUSISL274440","New York Times","http://www.nytimes.com/2007/11/03/world/asia/03drone.html?pagewanted=print",
"Zharki (Zera), near Mir Ali, North Waziristan",32.319633,69.501572,"January 23, 2009",2009,"none",5,5,5,5,10,10,"A militant compound run by a local named Khalil (TALIBAN)","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/January 23/AR2009012304189.html","GeoTV","http://geo.tv/1-23-2009/33388.htm",,,
"Khadezai, Orakzai Agency",32.966618,70.320740,"January 4, 2009",2009,"unknown",10,12," ",,10,12,"Pakistani Taliban commander Baitullah Mehsud’s deputy, Hakimullah Mehsud (TALIBAN)","Reuters","http://www.reuters.com/article/idUSISL425281","Guardian","http://www.guardian.co.uk/uk/feedarticle/8432973","New York Times","http://www.nytimes.com/2009/04/02/world/asia/02pstan.html","this is a very rough approximation of the location of Khadezai"
"Kani Guram, four miles from Ladha, South Waziristan",32.582691,69.849014,"August 11, 2009",2009,"unknown",10,12," ",,10,12,"Taliban training camp","GeoTV","http://www.geo.tv/8-11-2009/47439.htm","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-suspected-us-missile-strike-kills-eight-southwaziristan-qs-07","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/08/11/AR2009081100294.html?hpid=moreheadlines",
"Dargamandi village, 3 miles NW of Miram Shah, North Waziristan",32.995419,70.316620,"September 8, 2009",2009,"unknown",10,10,0,7,10,17,"House of a tribesman named Ismail Khan in Syedgai (UNCLEAR)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5ig_Wmpl0NFI9qedI39BXAPcDYlJw","GeoTV","http://geo.tv/9-8-2009/48908.htm","AL Jazeera","http://english.aljazeera.net/news/asia/2009/09/20099815473888170.html",
"Near Mir Ali, North Waziristan",32.959129,70.287094,"September 24, 2009",2009,"unknown",10,10,0,7,10,17,"Haqqani network","BBC","http://news.bbc.co.uk/2/hi/south_asia/8273997.stm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9ATSGO00","Reuters","http://www.reuters.com/article/latestCrisis/idUSSP194296",
"Damadola, Bajaur, NWFP",32.989658,70.030975,"October 24, 2009",2009,"unknown",3,25,7,8,10,33,"Maulana Faqir Mohammed, Taliban commander of Bajaur","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/10/25/pakistan.helicopter.crash","Daily Times","http://www.dailytimes.com.pk/default.asp?page=2009%5C10%5C25%5Cstory_25-10-2009_pg1_3","The Nation (Pakistan)","http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Regional/Islamabad/24-Oct-2009/Death-toll-rises-to-27-in-Bajaur-drone-attack",
"Gaddi Maramay in Datta Khel, North Waziristan",32.869205,70.133972,"December 17, 2009",2009,"Zuhaib al-Zahibi, “well-known al Qaeda commander”",10,15," ",,10,15,"Haqqani network (HAQQANI/TALIBAN/QAEDA) (though reports are mixed)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8417756.stm","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/12/17/pakistan.drone","GeoTV","http://geo.tv/12-17-2009/54938.htm",
